,BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount,Category,CategoryByGender
0,U.S. Polo Assn.,Pack Of 2 Printed Trunk,Rs. 699,Rs. 629,4.5,87,Trunk,Men
1,Van Heusen Innerwear,Pack of2 Antibacterial Trunks,Rs. 588,Rs. 523,4.4,5.2k,Trunk,Men
2,U.S. Polo Assn.,Men Solid Trunks,Rs. 369,Rs. 306,4.3,8.6k,Trunk,Men
3,Jockey,Super Combed Cotton Trunk,0,0,4.5,2.8k,Trunk,Men
4,Calvin Klein,3-Pack Mid-Rise Short Trunks,0,0,4.3,265,Trunk,Men
5,Jockey,Men Cotton Trunks,0,0,4.4,4.2k,Trunk,Men
6,XYXX,Men Pack Of 2 Cotton Trunks,Rs. 638,Rs. 427,4.3,2.9k,Trunk,Men
7,DAMENSCH,Pack Of 3 Deo-Cotton Trunks,Rs. 1045,Rs. 909,4.7,184,Trunk,Men
8,Jockey,Men Pack of 2 Cotton Briefs,0,0,4.4,7.5k,Trunk,Men
9,Jockey,Super Combed Cotton Trunk,0,0,4.4,5.8k,Trunk,Men
10,DAMENSCH,Pack Of 3 Deo Cotton Trunk,Rs. 949,Rs. 892,4.6,1k,Trunk,Men
11,XYXX,Men Solid Cotton Trunk,Rs. 319,Rs. 248,4.3,5.8k,Trunk,Men
12,Jockey,Men Printed Cotton Trunk,0,0,4.5,3.5k,Trunk,Men
13,XYXX,Men Pack Of 3 Cotton Trunks,Rs. 957,Rs. 629,4.3,1.1k,Trunk,Men
14,Jockey,Cotton Basic Briefs,0,0,4.4,8.8k,Trunk,Men
15,Jockey,Printed Ultra Soft Trunk,0,0,4.5,596,Trunk,Men
16,DAMENSCH,Pack of 2 Deo Cotton Trunks,Rs. 695,Rs. 576,4.5,809,Trunk,Men
17,Jockey,Men Cotton Trunks,0,0,4.4,2k,Trunk,Men
18,Levis,Smartskin Technology Trunks,Rs. 329,Rs. 220,4.2,3.3k,Trunk,Men
19,DAMENSCH,Pack Of 3 Deo Cotton Trunk,Rs. 1045,Rs. 909,4.5,609,Trunk,Men
20,Jockey,Men Pack of 2 Cotton Briefs,0,0,4.5,1.4k,Trunk,Men
21,Jockey,Men Super Combed Cotton Trunk,0,0,4.6,393,Trunk,Men
22,U.S. Polo Assn.,Pack Of 3 Cotton Trunks,Rs. 949,Rs. 835,4.4,231,Trunk,Men
23,U.S. Polo Assn.,Men Solid Cotton Trunks,Rs. 369,Rs. 276,4.2,1.7k,Trunk,Men
24,Jockey,Men Pack of 2 Cotton Briefs,0,0,4.4,9.2k,Trunk,Men
25,Marks & Spencer,5 Pcs Mid Rise Trunks,0,0,0,0,Trunk,Men
26,Jockey,Printed Combed Cotton Trunk,0,0,4.6,389,Trunk,Men
27,DAMENSCH,Men Solid Deo-Cotton Trunk,Rs. 349,Rs. 310,4.5,3.4k,Trunk,Men
28,Calvin Klein Underwear,3Pc Low Rise Short Trunks,Rs. 2699,Rs. 1889,0,0,Trunk,Men
29,Levis,Pack Of 2 Cotton Trunk,Rs. 699,Rs. 426,4.3,2k,Trunk,Men
30,Jockey,Super Combed Cotton Trunk,0,0,4.5,1.5k,Trunk,Men
31,U.S. Polo Assn.,Pack Of 3 Printed Trunks,Rs. 1149,Rs. 1034,4.1,254,Trunk,Men
32,XYXX,Men Pack of 2 Solid Trunks,Rs. 538,Rs. 499,4.3,1.1k,Trunk,Men
33,Jockey,Super Combed Cotton Trunk,0,0,4.5,1.5k,Trunk,Men
34,Jack & Jones,Pack Of 2 Outer Elastic Trunks,Rs. 899,Rs. 809,4,47,Trunk,Men
35,XYXX,Pack of 2 Solid Cotton Trunks,Rs. 638,Rs. 427,4.3,2.6k,Trunk,Men
36,Jockey,Printed Ultrasoft Trunk,0,0,4.6,251,Trunk,Men
37,U.S. Polo Assn.,2-Pc Breathability Trunks,Rs. 699,Rs. 629,4.5,229,Trunk,Men
38,U.S. Polo Assn.,Men Solid Cotton Trunk,Rs. 369,Rs. 295,4.3,2k,Trunk,Men
39,Jockey,Super Combed Cotton Trunk,0,0,4.5,1.4k,Trunk,Men
40,Jack & Jones,Men Pack Of 2 Printed Trunk,Rs. 1499,Rs. 1349,4.6,8,Trunk,Men
41,Jockey,Combed Cotton Basic Briefs,0,0,4.4,6.1k,Trunk,Men
42,XYXX,Men Solid Cotton Trunks,Rs. 319,Rs. 248,4.3,2.3k,Trunk,Men
43,U.S. Polo Assn.,Pack Of 3 Printed Trunks,Rs. 1149,Rs. 976,4.4,336,Trunk,Men
44,HRX by Hrithik Roshan,Pack Of 2 Trunks,0,0,0,0,Trunk,Men
45,Jockey,Men Solid Trunks,0,0,4.5,1.3k,Trunk,Men
46,DAMENSCH,Lightweight Unreal Trunks,Rs. 699,Rs. 580,4.6,527,Trunk,Men
47,Levis,Pack of 2 Cotton Briefs,Rs. 479,Rs. 296,4.2,2.4k,Trunk,Men
48,Levis,Pack of 2 Assorted Trunks,Rs. 778,Rs. 466,3.7,494,Trunk,Men
49,DAMENSCH,Pack Of 2 Deo-Soft Trunks,Rs. 1179,Rs. 1143,4.5,853,Trunk,Men
